fighter,date_of_birth,tuf,r2ufc,dwcs,pride,sf,wec,bmf,hof,country,gender,weightclass,current_rank,current_p4p,peak_rank,peak_p4p,bouts,wins,win_types,losses,loss_types,streak,best_streak,bonus,slot,elo,peak_elo,opp_elo,debut,debut_result,prev_bout,prev_result,next_date,next_opp
Bevon Lewis,1991-05-05,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,middleweight,16,16,16,16,4,1,0 KO 0 Sub 1 Dec,3,2 KO 0 Sub 1 Dec,-1,1,0,8.5,2381,2615,2672,2018-12-29,L - Uriah Hall,2020-11-07,L - Trevin Giles,NA,NA
Richie Smullen,1991-08-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Ireland,male,lightweight,16,16,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 1 Sub 0 Dec,-1,-1,0,8,2580,2399,2609,2018-07-06,L - Luis Pena,2018-07-06,L - Luis Pena,NA,NA
Tyler Diamond,1991-03-18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,featherweight,16,16,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,-1,-1,0,10,2794,2566,2681,2018-07-06,L - Bryce Mitchell,2018-07-06,L - Bryce Mitchell,NA,NA
Matthew Lopez,1987-01-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,16,16,13,16,6,2,1 KO 0 Sub 1 Dec,4,2 KO 1 Sub 1 Dec,-3,2,0,9.3,2649,2854,2831,2016-07-13,L - Rani Yahya,2018-12-08,L - Brad Katona,NA,NA
Anying Wang,1991-04-04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,China,male,welterweight,16,16,16,16,2,1,1 KO 0 Sub 0 Dec,1,0 KO 1 Sub 0 Dec,-1,1,0,7.5,1932,2372,2340,2014-03-01,W - Albert Cheng,2014-08-22,L - Colby Covington,NA,NA
Zhikui Yao,1991-02-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,China,male,flyweight,16,16,16,16,4,1,0 KO 0 Sub 1 Dec,3,1 KO 0 Sub 2 Dec,-2,1,0,10.8,2097,2266,2402,2014-08-22,L - Royston Wee,2016-11-26,L - Jenel Lausa,NA,NA
Jorge de Oliveira,1985-12-31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,"lightweight, welterweight",16,16,16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 1 Sub 1 Dec,-2,-1,0,7.5,2253,2187,2636,2014-11-08,L - Dhiego Lima,2015-03-21,L - Christos Giagos,NA,NA
Oskar Piechota,1990-01-24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Poland,male,middleweight,16,16,16,16,6,2,1 KO 0 Sub 1 Dec,3,1 KO 2 Sub 0 Dec,0,2,0,9,2543,2854,2645,2017-10-21,W - Jonathan Wilson,2020-06-20,NC - Marc-Andre Barriault,NA,NA
Tony Kelley,1987-01-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"bantamweight, featherweight",16,16,16,16,4,2,1 KO 0 Sub 1 Dec,2,1 KO 0 Sub 1 Dec,-1,2,1,10,2628,2677,2651,2020-08-15,L - Kai Kamaka III,2022-06-18,L - Adrian Yanez,NA,NA
William Macario,1991-07-01,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,welterweight,16,16,16,16,4,1,0 KO 0 Sub 1 Dec,3,2 KO 1 Sub 0 Dec,-2,1,0,6.5,2491,2750,2661,2013-06-08,L - Leonardo Santos,2015-02-22,L - Matt Dwyer,NA,NA
Jason Novelli,1979-06-08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,16,16,16,2,0,0 KO 0 Sub 0 Dec,2,1 KO 0 Sub 1 Dec,-2,-1,0,10.5,2485,2568,2601,2016-08-06,L - David Teymur,2016-11-05,L - Polo Reyes,NA,NA
Justin Jaynes,1989-08-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"featherweight, lightweight",16,16,16,16,5,1,1 KO 0 Sub 0 Dec,4,2 KO 1 Sub 1 Dec,-4,1,1,8.4,2346,2757,2644,2020-06-20,W - Frank Camacho,2021-06-26,L - Charles Rosa,NA,NA
Martin Bravo,1993-09-21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Mexico,male,featherweight,16,16,16,16,4,1,1 KO 0 Sub 0 Dec,3,2 KO 0 Sub 1 Dec,-3,1,1,4.2,2411,2810,2582,2016-11-05,W - Claudio Puelles,2019-09-21,L - Steven Peterson,NA,NA
Alex Oliveira,1988-02-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,welterweight,16,16,13,16,22,11,4 KO 3 Sub 4 Dec,10,2 KO 5 Sub 3 Dec,-4,3,5,5,2509,3183,2842,2015-03-21,L - Gilbert Burns,2022-03-05,L - Kevin Holland,NA,NA
Timur Valiev,1990-01-19,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Russia,male,"bantamweight, featherweight",16,16,16,16,4,2,0 KO 0 Sub 2 Dec,1,0 KO 0 Sub 1 Dec,-1,2,1,8.2,2719,3093,2747,2020-08-22,NC - Trevin Jones,2022-03-19,L - Jack Shore,NA,NA
Gabriel Silva,1994-08-23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,bantamweight,16,16,16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,-2,-1,1,8.5,2518,2627,2702,2019-07-20,L - Ray Borg,2020-02-29,L - Kyler Phillips,NA,NA
Karl Roberson,1990-10-04,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"light heavyweight, middleweight",16,16,16,16,10,4,0 KO 2 Sub 2 Dec,6,2 KO 4 Sub 0 Dec,-4,2,0,6.6,2516,2866,2769,2017-11-11,W - Darren Stewart,2022-07-09,L - Kennedy Nzechukwu,NA,NA
Tim Johnson,1985-03-13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,heavyweight,16,16,12,16,7,4,1 KO 0 Sub 3 Dec,3,1 KO 0 Sub 2 Dec,1,1,1,6,2760,2832,2736,2015-04-04,W - Shamil Abdurakhimov,2018-02-03,W - Marcelo Golm,NA,NA
Marco Beltran,1986-05-18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Mexico,male,"flyweight, bantamweight",16,16,16,16,6,3,0 KO 1 Sub 2 Dec,3,1 KO 1 Sub 1 Dec,-3,3,0,10.2,2342,2664,2594,2014-11-15,W - Marlon Vera,2017-10-07,L - Matt Schnell,NA,NA
Jose Torres,1992-08-02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,flyweight,16,16,16,16,2,1,1 KO 0 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,-1,1,0,11,2702,2872,2780,2018-06-01,W - Jarred Brooks,2018-08-04,L - Alex Perez,NA,NA
Izabela Badurek,1991-07-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Poland,female,women's strawweight,16,16,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 1 Sub 0 Dec,-1,-1,0,10,2271,2278,2100,2015-04-11,L - Aleksandra Albu,2015-04-11,L - Aleksandra Albu,NA,NA
Luan Chagas,1993-06-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,welterweight,16,16,16,16,4,1,0 KO 1 Sub 0 Dec,2,1 KO 1 Sub 0 Dec,-1,1,1,10.2,2698,2767,2786,2016-05-14,D - Sergio Moraes,2018-04-21,L - Siyar Bahadurzada,NA,NA
Felipe Silva,1984-08-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,lightweight,16,16,16,16,3,1,1 KO 0 Sub 0 Dec,2,1 KO 1 Sub 0 Dec,-2,1,0,9,2386,2730,2662,2016-08-27,W - Shane Campbell,2018-05-19,L - Claudio Puelles,NA,NA
Sage Northcutt,1996-03-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"welterweight, lightweight",16,16,16,16,8,6,2 KO 1 Sub 3 Dec,2,0 KO 2 Sub 0 Dec,3,3,0,5.6,2669,2808,2590,2015-10-03,W - Francisco Trevino,2018-07-14,W - Zak Ottow,NA,NA
Roberto Sanchez,1986-03-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,flyweight,16,16,16,16,3,1,0 KO 1 Sub 0 Dec,2,0 KO 1 Sub 1 Dec,-1,1,0,11,2687,2748,2680,2017-08-05,L - Joseph Morales,2018-09-08,L - Jarred Brooks,NA,NA
Oliver Enkamp,1991-08-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Sweden,male,welterweight,16,16,16,16,2,0,0 KO 0 Sub 0 Dec,2,1 KO 0 Sub 1 Dec,-2,-1,0,5.5,2576,2495,2666,2017-05-28,L - Nordine Taleb,2018-03-17,L - Danny Roberts,NA,NA
Boston Salmon,1990-11-20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,16,16,16,16,2,0,0 KO 0 Sub 0 Dec,2,2 KO 0 Sub 0 Dec,-2,-1,0,9.5,2525,2518,2457,2019-04-13,L - Khalid Taha,2019-10-18,L - Randy Costa,NA,NA
Levan Makashvili,1989-01-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Georgia,male,featherweight,16,16,16,16,3,1,0 KO 0 Sub 1 Dec,1,0 KO 0 Sub 1 Dec,0,1,0,7.7,2363,2756,2601,2015-05-16,W - Mark Eddiva,2016-01-30,D - Damon Jackson,NA,NA
Kailin Curran,1991-04-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,female,women's strawweight,16,16,16,16,7,1,0 KO 1 Sub 0 Dec,6,1 KO 2 Sub 3 Dec,-4,1,1,9.1,2332,2276,2320,2014-11-22,L - Paige VanZant,2017-11-25,L - Yan Xiaonan,NA,NA
Livinha Souza,1991-03-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,female,women's strawweight,16,16,15,16,6,3,0 KO 1 Sub 2 Dec,3,1 KO 0 Sub 2 Dec,-2,2,0,11,2462,2870,2514,2018-09-22,W - Alex Chambers,2021-10-23,L - Randa Markos,NA,NA
Emil Weber Meek,1988-08-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Norway,male,welterweight,16,16,16,16,4,1,0 KO 0 Sub 1 Dec,3,0 KO 0 Sub 3 Dec,-3,1,0,6,2579,2841,2869,2016-12-10,W - Jordan Mein,2020-02-22,L - Jake Matthews,NA,NA
Joey Gomez,1986-07-21,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,16,16,16,16,2,0,0 KO 0 Sub 0 Dec,2,1 KO 0 Sub 1 Dec,-2,-1,0,11,2273,2584,2589,2016-01-17,L - Rob Font,2016-09-17,L - Jose Alberto Quinonez,NA,NA
Oluwale Bamgbose,1987-08-04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Nigeria,male,middleweight,16,16,16,16,5,1,1 KO 0 Sub 0 Dec,4,3 KO 0 Sub 1 Dec,-3,1,0,7.8,2395,2648,2660,2015-08-08,L - Uriah Hall,2017-12-16,L - Alessio Di Chirico,NA,NA
Bartosz Fabinski,1986-04-26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Poland,male,"middleweight, welterweight",16,16,16,16,6,3,0 KO 0 Sub 3 Dec,3,0 KO 3 Sub 0 Dec,-3,3,0,6.8,2465,2870,2756,2015-04-11,W - Garreth McLellan,2021-04-17,L - Gerald Meerschaert,NA,NA
Marcin Bandel,1989-10-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Poland,male,lightweight,16,16,16,16,2,0,0 KO 0 Sub 0 Dec,2,2 KO 0 Sub 0 Dec,-2,-1,0,10.5,2675,2554,2672,2014-10-03,L - Mairbek Taisumov,2015-04-11,L - Stevie Ray,NA,NA
Bentley Syler,1985-12-22,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Bolivia,male,flyweight,16,16,16,16,1,0,0 KO 0 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,-1,-1,0,12,2259,2259,2346,2015-03-21,L - Fredy Serrano,2015-03-21,L - Fredy Serrano,NA,NA
Tom Duquesnoy,1993-06-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,France,male,bantamweight,16,16,16,16,3,2,1 KO 0 Sub 1 Dec,1,0 KO 0 Sub 1 Dec,1,1,0,5,2855,2855,2649,2017-04-15,W - Patrick Williams,2018-03-17,W - Terrion Ware,NA,NA
Teemu Packalen,1987-05-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Finland,male,lightweight,16,16,16,16,4,1,0 KO 1 Sub 0 Dec,3,2 KO 0 Sub 1 Dec,-2,1,1,9.8,2494,2577,2702,2015-07-18,L - Mickael Lebout,2019-09-07,L - Ottman Azaitar,NA,NA
Zarrukh Adashev,1992-07-29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Uzbekistan,male,flyweight,16,16,16,16,4,1,0 KO 0 Sub 1 Dec,3,2 KO 0 Sub 1 Dec,-1,1,0,8,2387,2428,2553,2020-06-13,L - Tyson Nam,2022-06-04,L - Ode Osbourne,NA,NA
Masio Fullen,1987-10-06,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Mexico,male,featherweight,16,16,16,16,3,1,0 KO 0 Sub 1 Dec,2,0 KO 1 Sub 1 Dec,-2,1,0,8.7,2241,2141,2454,2015-02-28,W - Alexander Torres,2016-01-30,L - Alex Caceres,NA,NA
Tony Sims,1985-10-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"lightweight, welterweight",16,16,16,16,3,1,1 KO 0 Sub 0 Dec,2,0 KO 1 Sub 1 Dec,-2,1,0,6,2532,2746,2634,2015-06-27,W - Steve Montgomery,2016-01-02,L - Abel Trujillo,NA,NA
Cain Carrizosa,1986-07-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,16,16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 1 Sub 1 Dec,-2,-1,0,9,2613,2428,2528,2014-08-30,L - Chris Wade,2015-03-21,L - Leonardo Mafra,NA,NA
Nolan Ticman,1988-05-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"flyweight, bantamweight",16,16,16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,-2,-1,0,11,2153,2158,2443,2014-08-16,L - Frankie Saenz,2015-05-16,L - Zhikui Yao,NA,NA
Jordan Johnson,1988-11-18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"middleweight, light heavyweight",16,16,15,16,4,4,0 KO 1 Sub 3 Dec,0,0 KO 0 Sub 0 Dec,4,4,0,9,2794,2855,2643,2017-01-28,W - Luis Henrique da Silva,2018-09-15,W - Adam Yandiev,NA,NA
Andy Enz,1991-08-15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,middleweight,16,16,16,16,3,0,0 KO 0 Sub 0 Dec,3,1 KO 0 Sub 2 Dec,-3,-1,0,10,2328,2436,2537,2014-02-01,L - Clint Hester,2015-01-31,L - Thiago Santos,NA,NA
Glaico Franca,1991-02-28,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,lightweight,16,16,16,16,3,1,0 KO 1 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,-2,1,0,8.3,2567,2746,2757,2015-08-01,W - Fernando Bruno,2016-09-24,L - Gregor Gillespie,NA,NA
Danielle Taylor,1989-10-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,female,women's strawweight,16,16,16,16,5,2,0 KO 0 Sub 2 Dec,3,0 KO 0 Sub 3 Dec,-2,2,0,8.6,2232,2595,2551,2016-08-06,L - Maryna Moroz,2018-08-04,L - Zhang Weili,NA,NA
Richardson Moreira,1984-03-31,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,"middleweight, heavyweight",16,16,16,16,2,0,0 KO 0 Sub 0 Dec,2,1 KO 0 Sub 1 Dec,-2,-1,0,10.5,2259,2351,2490,2014-05-31,L - Marcos Rogerio de Lima,2015-01-31,L - Ildemar Alcantara,NA,NA
Albert Tumenov,1991-12-26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Russia,male,welterweight,16,16,13,16,8,5,3 KO 0 Sub 2 Dec,3,0 KO 2 Sub 1 Dec,-2,5,1,7.6,3066,2944,2709,2014-02-15,L - Ildemar Alcantara,2016-10-08,L - Leon Edwards,NA,NA
Omari Akhmedov,1987-10-12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Russia,male,middleweight,16,16,11,16,15,9,2 KO 1 Sub 6 Dec,5,2 KO 1 Sub 2 Dec,-1,3,2,7.2,2783,3084,2782,2013-11-09,W - Thiago Perpetuo,2021-07-10,L - Brad Tavares,NA,NA
Jarred Brooks,1993-05-02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,flyweight,16,16,16,16,4,2,0 KO 0 Sub 2 Dec,2,1 KO 0 Sub 1 Dec,1,1,0,11.8,2659,2776,2754,2017-07-29,W - Eric Shelton,2018-09-08,W - Roberto Sanchez,NA,NA
Josh Copeland,1982-10-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,heavyweight,16,16,16,16,2,0,0 KO 0 Sub 0 Dec,2,1 KO 0 Sub 1 Dec,-2,-1,0,8,2614,2623,2806,2014-11-22,L - Ruslan Magomedov,2015-03-14,L - Jared Rosholt,NA,NA
Jordan Espinosa,1989-11-08,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"flyweight, bantamweight",16,16,8,16,6,2,0 KO 0 Sub 2 Dec,4,0 KO 2 Sub 2 Dec,-2,1,0,7.7,2395,2809,2706,2019-03-23,W - Eric Shelton,2021-03-06,L - Tim Elliott,NA,NA
Abdul-Kerim Edilov,1991-11-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Russia,male,light heavyweight,16,16,16,16,1,1,1 KO 0 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,1,1,0,11,2749,2749,2365,2017-09-02,W - Bojan Mihajlovic,2017-09-02,W - Bojan Mihajlovic,NA,NA
Konstantin Erokhin,1983-01-02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Russia,male,heavyweight,16,16,16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,-2,-1,0,9,2468,2615,2550,2015-01-24,L - Viktor Pesta,2015-12-11,L - Gabriel Gonzaga,NA,NA
Juliana Lima,1982-03-15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,female,women's strawweight,16,16,11,16,7,3,0 KO 0 Sub 3 Dec,4,0 KO 1 Sub 3 Dec,-2,2,0,9.3,2322,2620,2569,2014-07-26,L - Joanna Jedrzejczyk,2018-01-27,L - Randa Markos,NA,NA
Rob Wilkinson,1992-02-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Australia,male,middleweight,16,16,16,16,2,0,0 KO 0 Sub 0 Dec,2,2 KO 0 Sub 0 Dec,-2,-1,0,4.5,2783,2669,2796,2017-09-02,L - Siyar Bahadurzada,2018-02-10,L - Israel Adesanya,NA,NA
Callan Potter,1984-09-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Australia,male,"welterweight, lightweight",16,16,16,16,3,1,0 KO 0 Sub 1 Dec,2,2 KO 0 Sub 0 Dec,-1,1,0,8.7,2540,2626,2612,2019-02-09,L - Jalin Turner,2020-02-22,L - Song Kenan,NA,NA
Austin Arnett,1991-10-22,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,featherweight,16,16,16,16,4,1,0 KO 0 Sub 1 Dec,3,1 KO 0 Sub 2 Dec,-1,1,0,8.5,2506,2572,2647,2018-01-27,L - Cory Sandhagen,2019-02-09,L - Shane Young,NA,NA
Andrew Sanchez,1988-04-08,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,middleweight,16,16,16,16,10,5,1 KO 0 Sub 4 Dec,5,4 KO 0 Sub 1 Dec,-2,2,1,7.6,2685,2976,2773,2016-07-08,W - Khalil Rountree Jr.,2021-10-16,L - Bruno Silva,NA,NA
Louis Smolka,1991-07-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,16,16,9,16,17,8,4 KO 2 Sub 2 Dec,9,2 KO 3 Sub 4 Dec,-2,4,3,7.8,2527,2913,2647,2014-01-15,W - Alp Ozkilic,2022-05-14,L - Davey Grant,NA,NA
Chris Heatherly,1987-11-24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,16,16,16,16,2,0,0 KO 0 Sub 0 Dec,2,1 KO 1 Sub 0 Dec,-2,-1,0,7,2391,2433,2694,2014-08-23,L - Ben Saunders,2014-11-15,L - Augusto Montano,NA,NA
Alex Nicholson,1990-05-02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,middleweight,16,16,16,16,4,1,1 KO 0 Sub 0 Dec,3,1 KO 1 Sub 1 Dec,-2,1,0,8.5,2535,2642,2750,2016-02-06,L - Misha Cirkunov,2017-05-28,L - Jack Hermansson,NA,NA
Jason Gonzalez,1990-02-28,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,16,16,16,4,1,0 KO 1 Sub 0 Dec,3,1 KO 2 Sub 0 Dec,-2,1,1,9,2518,2648,2667,2016-09-10,L - Drew Dober,2019-04-27,L - Jim Miller,NA,NA
Saparbeg Safarov,1986-10-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Russia,male,"middleweight, light heavyweight",16,16,16,16,4,1,0 KO 0 Sub 1 Dec,3,1 KO 2 Sub 0 Dec,-1,1,1,6.5,2578,2643,2670,2016-12-09,L - Gian Villante,2020-03-07,L - Rodolfo Vieira,NA,NA
Christian Colombo,1980-01-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Denmark,male,heavyweight,16,16,16,16,3,0,0 KO 0 Sub 0 Dec,2,0 KO 2 Sub 0 Dec,-2,0,0,10.3,2326,2620,2504,2016-09-03,D - Jarjis Danho,2017-10-28,L - Marcelo Golm,NA,NA
Viktor Pesta,1990-07-15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Czech Republic,male,heavyweight,16,16,16,16,5,1,0 KO 0 Sub 1 Dec,4,2 KO 1 Sub 1 Dec,-3,1,0,9.6,2659,2656,2738,2014-05-30,L - Ruslan Magomedov,2017-01-15,L - Aleksei Oleinik,NA,NA
Shane Burgos,1991-03-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,featherweight,16,16,9,16,11,8,2 KO 1 Sub 5 Dec,3,2 KO 0 Sub 1 Dec,2,3,4,6.3,2828,2985,2818,2016-12-09,W - Tiago Trator,2022-07-16,W - Charles Jourdain,NA,NA
Antonio dos Santos Jr.,1988-07-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,middleweight,16,16,16,16,2,0,0 KO 0 Sub 0 Dec,2,2 KO 0 Sub 0 Dec,-2,-1,0,7.5,2634,2474,2594,2014-12-20,L - Daniel Sarafian,2015-06-20,L - Scott Askham,NA,NA
Domingo Pilarte,1990-01-05,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,16,16,16,16,3,0,0 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,-1,0,0,10.3,2502,2550,2638,2019-07-20,L - Felipe Colares,2021-08-21,L - Brian Kelleher,NA,NA
Felicia Spencer,1990-11-29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Canada,female,women's featherweight,16,16,16,16,6,3,2 KO 1 Sub 0 Dec,3,0 KO 0 Sub 3 Dec,1,1,0,2.5,2690,2750,2703,2019-05-18,W - Megan Anderson,2021-11-13,W - Leah Letson,NA,NA
Maia Kahaunaele,1982-03-19,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,female,women's strawweight,16,16,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 1 Sub 0 Dec,-1,-1,0,9,2225,2225,2591,2018-02-03,L - Polyana Viana,2018-02-03,L - Polyana Viana,NA,NA
Marion Reneau,1977-06-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,female,women's bantamweight,16,16,6,16,13,5,2 KO 2 Sub 1 Dec,7,1 KO 0 Sub 6 Dec,-5,2,1,6.3,2351,2712,2546,2015-01-03,W - Alexis Dufresne,2021-07-17,L - Miesha Tate,NA,NA
Justin Jones,1987-09-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"middleweight, light heavyweight",16,16,16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,-2,-1,0,9,2678,2413,2606,2014-12-06,L - Corey Anderson,2015-04-04,L - Ronald Stallings,NA,NA
Thomas Almeida,1991-07-31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,"bantamweight, featherweight",16,16,6,16,10,5,4 KO 0 Sub 1 Dec,5,3 KO 0 Sub 2 Dec,-4,4,5,4.2,2572,2908,2722,2014-11-08,W - Tim Gorman,2021-03-27,L - Sean O'Malley,NA,NA
Mickael Lebout,1987-08-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,France,male,"lightweight, welterweight",16,16,16,16,3,1,0 KO 0 Sub 1 Dec,2,0 KO 0 Sub 2 Dec,-1,1,0,7,2479,2636,2652,2015-04-11,L - Sergio Moraes,2015-10-24,L - Stevie Ray,NA,NA
Enrique Marin,1986-09-02,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Spain,male,"lightweight, welterweight",16,16,16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,-2,-1,0,6.5,2452,2581,2598,2015-11-21,L - Erick Montano,2016-07-09,L - Sage Northcutt,NA,NA
Alberto Uda,1984-08-08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,middleweight,16,16,16,16,2,0,0 KO 0 Sub 0 Dec,2,1 KO 1 Sub 0 Dec,-2,-1,0,10.5,2485,2625,2565,2016-05-29,L - Jake Collier,2016-08-20,L - Marvin Vettori,NA,NA
