fighter,date_of_birth,tuf,r2ufc,dwcs,pride,sf,wec,bmf,hof,country,gender,weightclass,current_rank,current_p4p,peak_rank,peak_p4p,bouts,wins,win_types,losses,loss_types,streak,best_streak,bonus,slot,elo,peak_elo,opp_elo,debut,debut_result,prev_bout,prev_result,next_date,next_opp
Ode Osbourne,1992-01-09,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Jamaica,male,"flyweight, bantamweight",16,16,16,16,13,5,3 KO 0 Sub 2 Dec,7,2 KO 3 Sub 2 Dec,0,2,2,8.1,2587,2705,2688,2020-01-18,L - Brian Kelleher,2026-02-21,NC - Alibi Idiris,NA,NA
Alexandre Pantoja,1990-04-16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,flyweight,1,9,-1,4,18,14,2 KO 6 Sub 6 Dec,4,1 KO 0 Sub 3 Dec,-1,8,6,5.4,3199,3349,2893,2017-01-28,W - Eric Shelton,2025-12-06,L - Joshua Van,NA,NA
HyunSung Park,1995-11-04,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,South Korea,male,flyweight,16,16,16,16,5,3,1 KO 2 Sub 0 Dec,2,0 KO 2 Sub 0 Dec,-2,3,1,7.2,2663,2823,2666,2023-02-04,W - SeungGuk Choi,2025-10-18,L - Bruno Gustavo da Silva,NA,NA
Alex Perez,1992-03-21,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,flyweight,10,16,4,16,14,8,4 KO 2 Sub 2 Dec,6,2 KO 3 Sub 1 Dec,1,3,3,6.6,2909,3029,2871,2017-12-09,W - Carls John de Tomas,2026-01-24,W - Charles Johnson,2026-05-30,Sumudaerji
Mitch Raposo,1998-10-16,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,flyweight,16,16,16,16,3,1,0 KO 0 Sub 1 Dec,2,0 KO 0 Sub 2 Dec,1,1,0,11.7,2620,2620,2675,2024-06-01,L - Andre Lima,2025-10-25,W - Azat Maksum,2026-04-18,Allan Nascimento
Lucas Rocha,2000-08-12,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,flyweight,16,16,16,16,2,1,0 KO 0 Sub 1 Dec,1,0 KO 1 Sub 0 Dec,1,1,0,11,2697,2697,2683,2024-10-12,L - Clayton Carpenter,2025-10-11,W - Stewart Nicoll,2026-04-25,Jafel Filho
Ronaldo Rodriguez,1999-05-07,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Mexico,male,flyweight,16,16,16,16,3,2,0 KO 1 Sub 1 Dec,1,0 KO 0 Sub 1 Dec,-1,2,0,7,2575,2723,2510,2024-02-24,W - Denys Bondar,2025-03-29,L - Kevin Borjas,NA,NA
Brandon Royval,1992-08-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,flyweight,4,16,1,16,12,7,1 KO 3 Sub 3 Dec,5,2 KO 1 Sub 2 Dec,-2,3,6,4.2,2907,3076,2954,2020-05-30,W - Tim Elliott,2025-12-13,L - Manel Kape,NA,NA
Matt Schnell,1990-01-15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,flyweight,16,16,7,16,16,7,0 KO 3 Sub 4 Dec,8,5 KO 3 Sub 0 Dec,-1,4,3,7,2643,2847,2724,2016-12-03,L - Rob Font,2025-11-08,L - Joseph Morales,2026-06-06,Imanol Rodriguez
Bruno Gustavo da Silva,1990-03-16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,flyweight,15,16,12,16,11,5,3 KO 2 Sub 0 Dec,5,2 KO 0 Sub 3 Dec,-1,4,4,8.5,2804,2912,2762,2019-10-05,NC - Khalid Taha,2026-03-14,L - Charles Johnson,2026-06-06,Edgar Chairez
Sumudaerji,1996-01-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,China,male,flyweight,16,16,11,16,10,6,1 KO 0 Sub 5 Dec,4,0 KO 3 Sub 1 Dec,3,3,2,7.3,2813,2813,2688,2018-11-24,L - Louis Smolka,2026-03-07,W - Jesus Aguilar,2026-05-30,Alex Perez
Tatsuro Taira,2000-01-27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Japan,male,flyweight,3,16,3,16,9,8,3 KO 3 Sub 2 Dec,1,0 KO 0 Sub 1 Dec,2,6,4,6,3187,3187,2866,2022-05-14,W - Carlos Candelario,2025-12-06,W - Brandon Moreno,2026-05-09,Joshua Van
Ramazan Temirov,1997-01-31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Uzbekistan,male,flyweight,16,16,13,16,2,2,1 KO 0 Sub 1 Dec,0,0 KO 0 Sub 0 Dec,2,2,1,8,2986,2986,2785,2024-10-12,W - CJ Vergara,2025-03-01,W - Charles Johnson,NA,NA
Rei Tsuruya,2002-06-22,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Japan,male,flyweight,16,16,16,16,2,1,0 KO 0 Sub 1 Dec,1,0 KO 0 Sub 1 Dec,-1,1,0,9,2786,2876,2719,2024-06-29,W - Carlos Hernandez,2025-03-08,L - Joshua Van,2026-05-30,Jesus Aguilar
Nyamjargal Tumendemberel,1998-03-22,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Mongolia,male,flyweight,16,16,16,16,3,2,0 KO 1 Sub 1 Dec,1,0 KO 0 Sub 1 Dec,2,2,0,11,2743,2743,2552,2024-11-23,L - Carlos Hernandez,2026-03-07,W - Cody Durden,NA,NA
Tagir Ulanbekov,1991-08-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Russia,male,flyweight,14,16,10,16,8,6,0 KO 2 Sub 4 Dec,2,0 KO 1 Sub 1 Dec,-1,4,0,10.2,2967,3038,2754,2020-10-10,W - Bruno Gustavo da Silva,2025-11-22,L - Kyoji Horiguchi,NA,NA
Joshua Van,2001-10-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Myanmar, United States",male,flyweight,-1,10,-1,10,10,9,3 KO 0 Sub 6 Dec,1,1 KO 0 Sub 0 Dec,6,6,1,7.7,3308,3308,2859,2023-06-24,W - Zhalgas Zhumagulov,2025-12-06,W - Alexandre Pantoja,2026-05-09,Tatsuro Taira
Alatengheili,1991-12-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,China,male,bantamweight,16,16,16,16,9,5,1 KO 0 Sub 4 Dec,3,0 KO 0 Sub 3 Dec,-1,2,1,11.3,2721,2791,2697,2019-08-31,W - Batgerel Danaa,2025-04-26,L - Da'Mon Blackshear,NA,NA
Bekzat Almakhan,1997-10-08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Kazakhstan,male,bantamweight,16,16,16,16,3,1,1 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,-1,1,0,9,2643,2812,2807,2024-03-02,L - Umar Nurmagomedov,2025-11-22,L - Aleksandre Topuria,NA,NA
Chad Anheliger,1986-12-01,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Canada,male,bantamweight,16,16,16,16,5,2,1 KO 0 Sub 1 Dec,3,0 KO 1 Sub 2 Dec,-1,1,0,10.8,2566,2740,2618,2022-02-19,W - Jesse Strader,2024-11-02,L - Cody Gibson,NA,NA
Garrett Armfield,1996-10-09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,16,16,16,16,5,2,1 KO 0 Sub 1 Dec,3,0 KO 2 Sub 1 Dec,-2,2,0,7.6,2579,2735,2685,2022-07-09,L - David Onama,2024-11-02,L - Serhiy Sidey,NA,NA
Raoni Barcelos,1987-05-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,bantamweight,16,16,15,16,14,10,2 KO 2 Sub 6 Dec,4,1 KO 0 Sub 3 Dec,4,5,3,6.8,3093,3093,2832,2018-07-14,W - Kurt Holobaugh,2025-11-08,W - Ricky Simon,2026-04-25,Montel Jackson
Farid Basharat,1997-08-02,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Afghanistan, United Kingdom, England",male,"bantamweight, featherweight",15,16,15,16,6,6,0 KO 1 Sub 5 Dec,0,0 KO 0 Sub 0 Dec,6,6,0,9.8,3118,3121,2849,2023-03-04,W - Da'Mon Blackshear,2026-02-07,W - Jean Matsumoto,NA,NA
Mario Bautista,1993-07-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,8,16,8,16,14,11,1 KO 4 Sub 6 Dec,3,1 KO 1 Sub 1 Dec,1,8,4,7.1,3281,3319,2862,2019-01-19,L - Cory Sandhagen,2026-02-07,W - Vinicius Oliveira,NA,NA
Da'Mon Blackshear,1994-08-12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,16,16,16,16,10,5,1 KO 3 Sub 1 Dec,4,1 KO 0 Sub 3 Dec,-1,3,2,9.4,2858,2982,2784,2022-08-13,D - Youssef Zalal,2025-07-26,L - Davey Grant,NA,NA
Gaston Bolanos,1992-09-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Peru,male,bantamweight,16,16,16,16,4,2,0 KO 0 Sub 2 Dec,2,1 KO 1 Sub 0 Dec,-1,1,0,8.2,2503,2627,2580,2023-04-15,W - Aaron Phillips,2025-05-03,L - Quang Le,NA,NA
John Castaneda,1991-12-18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"bantamweight, featherweight",16,16,16,16,8,4,1 KO 1 Sub 2 Dec,4,1 KO 0 Sub 3 Dec,-2,2,1,9.5,2806,2927,2761,2020-07-25,L - Nathaniel Wood,2025-04-26,L - Chris Gutierrez,2026-04-18,Mark Vologdin
Merab Dvalishvili,1991-01-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Georgia, United States",male,bantamweight,1,8,-1,2,17,14,1 KO 1 Sub 12 Dec,3,0 KO 1 Sub 2 Dec,-1,14,5,4.9,3458,3621,3050,2017-12-09,L - Frankie Saenz,2025-12-06,L - Petr Yan,NA,NA
