fighter_name,country,date_of_birth,gender,weightclass,peak,peak p4p,bouts,wins,win_type,losses,loss_type,win_pct,best streak,last streak,bonus,peak elo,debut,debut_result,prev_bout,prev_result
Erik Koch,🇺🇸,1988-10-04,male,"featherweight, lightweight, welterweight",8,16,10,5,2 KO 1 Sub 2 Dec,5,2 KO 0 Sub 3 Dec,0.5,2,1,1,2787,2011-03-19,W - Raphael Assuncao,2019-07-27,W - Kyle Stewart
Yves Jabouin,🇨🇦 🇭🇹,1979-05-30,male,"bantamweight, featherweight",15,16,10,5,0 KO 0 Sub 5 Dec,5,3 KO 2 Sub 0 Dec,0.5,3,-2,0,2664,2011-04-30,L - Pablo Garza,2015-08-23,L - Felipe Arantes
Alex Karalexis,🇺🇸,1977-09-20,male,welterweight,16,16,3,1,1 KO 0 Sub 0 Dec,2,1 KO 1 Sub 0 Dec,0.3333333333333333,1,-2,0,2451,2005-04-09,W - Josh Rafferty,2006-01-16,L - Jason Von Flue
Damacio Page,🇺🇸,1982-09-30,male,bantamweight,16,16,3,0,0 KO 0 Sub 0 Dec,3,0 KO 3 Sub 0 Dec,0,-1,-3,1,2428,2011-03-03,L - Brian Bowles,2012-07-11,L - Alex Caceres
Rafaello Oliveira,🇧🇷,1982-01-26,male,lightweight,16,16,8,2,0 KO 0 Sub 2 Dec,6,3 KO 1 Sub 2 Dec,0.25,1,-2,0,2503,2009-09-19,L - Nik Lentz,2014-02-22,L - Erik Koch
Jason Brilz,🇺🇸,1975-07-07,male,light heavyweight,16,16,7,3,1 KO 0 Sub 2 Dec,4,2 KO 0 Sub 2 Dec,0.42857142857142855,2,-3,1,2759,2008-09-17,W - Brad Morris,2011-11-19,L - Ryan Bader
Brian Foster,🇺🇸,1984-04-04,male,welterweight,16,16,5,3,2 KO 1 Sub 0 Dec,2,0 KO 2 Sub 0 Dec,0.6,2,2,2,2601,2009-09-19,L - Rick Story,2010-11-20,W - Matt Brown
Hermes Franca,🇧🇷,1974-08-26,male,lightweight,16,16,11,6,2 KO 2 Sub 2 Dec,5,1 KO 0 Sub 4 Dec,0.5454545454545454,3,-1,4,2912,2003-04-25,W - Richard Crunkilton,2009-09-19,L - Tyson Griffin
Jason Von Flue,🇺🇸,1975-08-01,male,welterweight,16,16,3,1,0 KO 1 Sub 0 Dec,2,0 KO 1 Sub 1 Dec,0.3333333333333333,1,-2,0,2551,2006-01-16,W - Alex Karalexis,2006-08-17,L - Joe Riggs
Fabricio Werdum,🇧🇷,1977-08-24,male,heavyweight,-1,4,18,12,4 KO 4 Sub 4 Dec,6,3 KO 0 Sub 3 Dec,0.6666666666666666,6,1,4,3389,2007-04-21,L - Andrei Arlovski,2020-07-25,W - Alexander Gustafsson
Eiji Mitsuoka,🇯🇵,1976-01-01,male,"featherweight, lightweight",16,16,2,0,0 KO 0 Sub 0 Dec,2,2 KO 0 Sub 0 Dec,0,-1,-2,0,2523,2012-02-25,L - Takanori Gomi,2012-08-11,L - Nik Lentz
Akihiro Gono,🇯🇵,1974-10-07,male,welterweight,16,16,3,1,0 KO 1 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,0.3333333333333333,1,-2,1,2730,2007-11-17,W - Tamdan McCrory,2009-01-31,L - Jon Fitch
Blagoy Ivanov,🇧🇬,1986-10-09,male,heavyweight,8,16,8,3,0 KO 0 Sub 3 Dec,5,0 KO 0 Sub 5 Dec,0.375,2,-2,0,3095,2018-07-14,L - Junior dos Santos,2023-07-01,L - Alexandr Romanov
Jesse Taylor,🇺🇸,1983-02-01,male,"welterweight, middleweight",16,16,2,1,0 KO 1 Sub 0 Dec,1,0 KO 1 Sub 0 Dec,0.5,1,1,0,2942,2008-07-19,L - C.B. Dollaway,2017-07-07,W - Dhiego Lima
Tarec Saffiedine,🇧🇪,1986-09-06,male,welterweight,7,16,6,2,0 KO 0 Sub 2 Dec,4,1 KO 0 Sub 3 Dec,0.3333333333333333,1,-3,1,3016,2014-01-04,W - Hyun Gyu Lim,2017-06-17,L - Rafael Dos Anjos
